name,author,publisher,family,location
Algebraic curves and Riemann surfaces =: 代数曲线和黎曼面 /,Rick Miranda.,"高等教育出版社,",数学,四楼C区
数学分析讲义,"程艺,陈卿,李平",高等教育出版社,数学,四楼C区
国学概论,张荣明,高等教育出版社,数学,四楼C区
TypeScript图形渲染实战：2D架构设计与实现,步磊峰,机械工业出版社,数学,四楼C区
Python算法详解,张玲玲,人民邮电出版社,数学,四楼C区
应用密码学,"胡向东,魏琴芳,胡蓉",电子工业出版社,数学,四楼C区
机器学习理论与应用：基于云教育环境,"马长林,郑世珏,刘三[Ya]",清华大学出版社,数学,四楼C区
机器学习：算法背后的理论与优化,"史春奇,卜晶t,施智平",清华大学出版社,数学,四楼C区
通信原理 (双语) 简明教程,朱艳萍,清华大学出版社,数学,四楼C区
工程数学,"代鸿,张玮",清华大学出版社,数学,四楼C区
工程电磁场,"哈特,巴克",清华大学出版社,数学,四楼C区
数学物理方法,"吴崇试,,高春媛",北京大学出版社,数学,四楼C区
人工智能,"赵亮,张宁",北京师范大学出版社,数学,四楼C区
物理学中的数学方法习题集,王怀玉,中国科学技术大学出版社,数学,四楼C区
间歇过程统计建模及故障监测研究：针对数据多阶段特性,"常鹏,",知识产权出版社,数学,四楼C区
"角斗士、海盗与信任博弈：how game theory, strategy and probability rule our lives",沙皮拉,中信出版集团股份有限公司,数学,四楼C区
高等数学及其应用,"胡成,吴田峰,刘洋",西南交通大学出版社,数学,四楼C区
木纤维发动机空气滤芯过滤理论,"杜丹丰,郭秀荣",科学出版社,数学,四楼C区
数学建模与数学实验,"汪晓银,李治,周保平",科学出版社,数学,四楼C区
数据科学手册,卡迪,机械工业出版社,数学,四楼C区
先进无人机空气动力学、飞行稳定性与飞行控制,"马克斯,达・龙什",机械工业出版社,数学,四楼C区
Excel公式、函数与图表案例实战从入门到精通：视频自学版,恒盛杰资讯,机械工业出版社,数学,四楼C区
数据结构与算法图解,温格罗,人民邮电出版社,数学,四楼C区
计算机科学中的数学：信息与智能时代的必修课,"莱曼,莱顿,迈耶",电子工业出版社,数学,四楼C区
Unity 3D\2D手机游戏开发：从学习到产品,金玺曾,清华大学出版社,数学,四楼C区
概率论与数理统计,"齐淑华,刘强",清华大学出版社,数学,四楼C区
下辽河平原地下水脆弱性与风险性评价,"孙才志,郑德凤,吕乐婷",科学出版社,数学,四楼C区
信息安全数学基础,"聂旭云,廖永建,熊虎",科学出版社,数学,四楼C区
空间有向几何学,喻德生,科学出版社,数学,四楼C区
实变函数与泛函分析基础,"程其襄,张奠宙,胡善文",高等教育出版社,数学,四楼C区
Topological invariants of plane curves and caustics =: 平面曲线和焦散曲线的拓扑不变量 /,V.I. Arnold.,"高等教育出版社,",数学,四楼C区
"Nonlinear wave equations, formation of singularities =: 非线性波动房产, 奇点的形成 /",Fritz John.,"高等教育出版社,",数学,四楼C区
组合证明的艺术,"本杰明,奎因",机械工业出版社,数学,四楼C区
"看漫画, 学微积分",高尼克,机械工业出版社,数学,四楼C区
世界观：现代人必须要懂的科学哲学和科学史：an introduction to the history and philosophy of science,德威特,机械工业出版社,文学,四楼C区
大学物理学重难点解析,"何跃娟,陈国庆,吴亚敏",高等教育出版社,文学,四楼C区
认识身体．2，永不停歇的变化,弗朗西斯,中信出版集团股份有限公司,文学,四楼C区
"角斗士、海盗与信任博弈：how game theory, strategy and probability rule our lives",沙皮拉,中信出版集团股份有限公司,文学,四楼C区
天与人的对话,"姚建明,",清华大学出版社,文学,四楼C区
马克思人文精神与西方经典作家关系研究：以但丁、莎士比亚、歌德、巴尔扎克为中心,"和建伟,",中国致公出版社,文学,四楼C区
翻译教学原理及其文学应用研究,赵丹,中国纺织出版社,文学,四楼C区
中国古代文学教程,"马春燕,王美玲,杨杨",西安交通大学出版社,文学,四楼C区
先秦文学演变史,"木斋,",人民出版社,文学,四楼C区
莫言作品海外传播研究,姜智芹,南京大学出版社,文学,四楼C区
文学课,"沈从文,",四川人民出版社,文学,四楼C区
寻找巴金,"坂井洋史,",四川文艺出版社,文学,四楼C区
当代文学：深察与纵览,李林荣,人民日报出版社,文学,四楼C区
“开始”在哪里,李平,上海人民出版社,文学,四楼C区
经典咏流传,"许文广,过彤",人民文学出版社,文学,四楼C区
梁启超讲中国美文及其历史,梁启超,团结出版社,文学,四楼C区
唯美古韵：《诗经》读解,苍梧,华中科技大学出版社,文学,四楼C区
本事词,叶申芗,中华书局,文学,四楼C区
词品,"杨慎,",中华书局,文学,四楼C区
清代才学小说考论,赵春辉,人民出版社,文学,四楼C区
雅努斯的面孔：中国现代“乡愁小说”论,"冯波,",中国社会科学出版社,文学,四楼C区
百年中国文学史写作范式研究,"温潘亚,",人民出版社,文学,四楼C区
四十年代自由主义文学研究,"王俊,",中国社会科学出版社,文学,四楼C区
鲁迅《野草》解读,魏洪丘,中国书籍出版社,文学,四楼C区
经典咏流传．我为诗狂,"许文广,过彤",人民文学出版社,文学,五楼D区
艺术展示导论,陆兴华,商务印书馆,文学,五楼D区
走向跨文化研究的艺术美学,李庆本,上海三联书店,文学,五楼D区
奥斯卡・施莱默的书信与日记,施莱默,华中科技大学出版社,文学,五楼D区
天体油画的美学发现,"张鹏,",科学出版社,文学,五楼D区
南宋淳熙四家的诗歌与书法,"路薇,",中国社会科学出版社,文学,五楼D区
王国维讲宋元戏曲史,王国维,团结出版社,文学,五楼D区
极简天文学,斯图尔特,中信出版集团股份有限公司,文学,五楼D区
风暴潮灾害风险评估及应对机制研究,"赵昕,,徐伟呈,,郭晶,",经济科学出版社,文学,五楼D区
通俗天文学,纽科姆,福建科学技术出版社,文学,五楼D区
物种起源,达尔文,福建科学技术出版社,文学,五楼D区
天体运行论,哥白尼,福建科学技术出版社,文学,五楼D区
改变近代文明的六种植物,"酒井伸雄,",重庆大学出版社,文学,五楼D区
余光中讲梵高：追寻生命,"余光中,",北京联合出版公司,文学,五楼D区
浮出社会地表：“十七年”女性媒介形象研究,韩敏,中国社会科学出版社,文学,五楼D区
学术话语体系建设的理与路：一项分科的研究,沈壮海,人民出版社,文学,五楼D区
语言文化教育视野下的本科教学改革探索,黄灿,人民日报出版社,文学,五楼D区
字里行间，草木皆兵：成语典故植物图鉴,潘富俊,九州出版社,文学,五楼D区
大学语文与写作,何春根,高等教育出版社,文学,五楼D区
对外汉语教学法,张艳华,高等教育出版社,文学,五楼D区
大学英语教师隐性课程及其对教学行为和决策的影响研究,胡萍萍,浙江大学出版社,文学,五楼D区
英语语言文学经典阅读教程,"刁克利,陈世丹",中国人民大学出版社,文学,五楼D区
英语阅读中的批判性思维研究,"刘富利,王颖,周玉芳",科学出版社,文学,五楼D区
劳伦斯诗选,劳伦斯,外语教学与研究出版社,文学,五楼D区
阅读法国80篇,梅耶尔,上海译文出版社,文学,五楼D区
新日汉拟声拟态词词典,郭华江,上海译文出版社,文学,五楼D区
精品葡萄酒入门,葡萄酒艺术编辑部,辽宁科学技术出版社,杂志,二楼C区
肝移植,"布苏蒂尔,克林特马尔姆",上海科学技术出版社,杂志,二楼C区
磁共振伪影与假象,"沙琳,赵一平",科学出版社,杂志,二楼C区
科学速读：脑内新世界：Inside the most complicated object in the known universe,新科学家杂志,人民邮电出版社,杂志,二楼C区
浮出社会地表：“十七年”女性媒介形象研究,韩敏,中国社会科学出版社,杂志,二楼C区
新日汉拟声拟态词词典,郭华江,上海译文出版社,杂志,二楼C区
邓小平的最后岁月,"余玮,吴志菲",天地出版社,杂志,二楼C区
轴心时代的中国思想：先秦诸子研究,李梅,商务印书馆,杂志,二楼C区
短篇小说写作指南,美国作家文摘杂志社,湖南文艺出版社,杂志,二楼C区
区块链将如何改变世界：党政干部一本书读懂区块链,本书编写组编,东方出版社,杂志,二楼C区
愿你不为世界所累，活得更像自己,鲁西西,四川人民出版社,杂志,二楼C区
习近平新时代中国特色社会主义外交思想研究,张宇燕,中国社会科学出版社,杂志,二楼C区
值得珍藏的历史记忆：从“一五”计划到“十二五”规划重大事件点滴回顾,朱永旗,中国市场出版社,杂志,二楼C区
现代建筑口述史：20世纪最伟大的建筑师访谈：interviews with the greatest architects of the twentieth century,彼得,中国建筑工业出版社,杂志,二楼C区
走近读脑时代,"《环球科学》杂志社,外语教学与研究出版社",外语教学与研究出版社,杂志,二楼C区
深度沟通：快速掌控谈话,德维托,北京联合出版公司,杂志,二楼C区
物理学咬文嚼字,"曹则贤,",中国科学技术大学出版社,杂志,二楼C区
朱雨生分子生物学文集,"朱雨生,",上海交通大学出版社,杂志,二楼C区
蓝色面具,誉田哲也,现代出版社,杂志,二楼C区
和平的力量,"雷巧玲,金新",中国社会科学出版社,杂志,二楼C区
人行道王国,邓奈尔,华东师范大学出版社,杂志,二楼C区
抑郁症,"赵静波,许诗琪,陈瑜",中国医药科技出版社,杂志,二楼C区
饮食的迷思：关于营养、健康和遗传的科学真相：the real science behind what we eat,斯佩克特,广西师范大学出版社,杂志,二楼C区
过敏科学史,"伯格曼,林",华中科技大学出版社,杂志,二楼C区
一起连环绑架案的新闻,马尔克斯,南海出版公司,杂志,二楼C区
写给大家看的设计书．案例篇,科特豪斯,人民邮电出版社,杂志,二楼C区
夜短梦长：毛尖看电影,毛尖,北京大学出版社,杂志,二楼C区
成长的骄傲与烦恼,《环球人物》杂志社,民主与建设出版社,杂志,二楼C区
汽车不神秘：汽车构造透视图典：全彩典雅版,陈新亚,机械工业出版社,杂志,二楼C区
孤独力,"斋藤茂太,",国际文化出版公司,杂志,二楼C区
畅享智能时代,"《环球科学》杂志社,外语教学与研究出版社",外语教学与研究出版社,杂志,二楼C区
人类鉴定手册,英国《新科学家》杂志,湖南科学技术出版社,杂志,二楼C区
时空的乐章：引力波百年漫谈,卢昌海,高等教育出版社,杂志,二楼C区
景观笔记：自然・文化・设计,"王向荣,",生活・读书・新知三联书店,杂志,二楼C区
最后一个人类,奥康奈尔,浙江人民出版社,杂志,二楼C区
版式设计从入门到精通,红糖美学,中国水利水电出版社,杂志,二楼C区
八声甘州,远宁,新星出版社,杂志,二楼C区
是我想多了吗?,英国《新科学家》杂志,中信出版社,杂志,二楼C区
考研英语阅读理解精读100篇．高分版,印建坤,群言出版社,杂志,二楼C区
Photoshop CC 2017数码照片专业处理技法,凯尔比,人民邮电出版社,杂志,二楼C区
杂志设计：访谈・网格・字体：fonts & grid system,"曲业华,关涛",辽宁科学技术出版社,杂志,二楼C区
智慧城市与智慧图书馆,图书情报工作杂志社,海洋出版社,杂志,二楼C区
面向MOOC的图书馆嵌入式服务创新,图书情报工作杂志社,海洋出版社,杂志,二楼C区
阅读推广的进展与创新,图书情报工作杂志社,海洋出版社,杂志,二楼C区
用并购让经营更卓越：就算爬窗也要听的热门课,杜英宗,广东经济出版社,杂志,二楼C区
中国新药注册与审评技术双年鉴,韩培,中国医药科技出版社,杂志,二楼C区
无尽之形最美：动物演化发育的奥秘,卡罗尔,上海科学技术出版社,杂志,二楼C区
关键是品味！,"松浦弥太郎,",中信出版社,杂志,二楼C区
汉密尔顿传,彻诺,浙江大学出版社,杂志,二楼C区
语文常谈：附: 未晚斋杂览,吕叔湘,生活・读书・新知三联书店,杂志,二楼C区
世界观：现代人必须要懂的科学哲学和科学史：an introduction to the history and philosophy of science,德威特,机械工业出版社,英语,二楼B区
Syllabus of clinical medical education for international medical students (in English),中国教育国际交流协会,清华大学出版社,英语,二楼B区
大数据专业英语教程,"张强华,刘俊辉,郑聪玲",清华大学出版社,英语,二楼B区
工程电磁场,"哈特,巴克",清华大学出版社,英语,二楼B区
土木工程专业英语,"夏冬桃,肖本林",中国建筑工业出版社,英语,二楼B区
翻译教学原理及其文学应用研究,赵丹,中国纺织出版社,英语,二楼B区
"人类基因组编辑：科学・伦理・管理：science, ethics, and governance：中英对照","人类基因编辑: 科学、医学和伦理决策委员会,美国科学院研究理事会",科学出版社,英语,二楼B区
国学经典选读：汉英对照,"洪丽,路永民",中国传媒大学出版社,英语,二楼B区
外贸英语函电写作教程,"蒋景东,宋秀峰,陈国雄",机械工业出版社,英语,二楼B区
外语类网络在线课程建设及综合评价的理论和方法：兼评四套大学英语网络视听教学系统,"刘美岩,雷晓峰,陈俊",复旦大学出版社,英语,二楼B区
英语语音语调基础理论与实践研究,"陈彦华,",中国商业出版社,英语,二楼B区
张剑考研英语知识运用与词汇精要．2020,张剑,外语教学与研究出版社,英语,二楼B区
英语词汇记忆秘密：词义联想3000词,张翔,外语教学与研究出版社,英语,二楼B区
基于实用视角下的英语翻译研究,赵冰,中国纺织出版社,英语,二楼B区
跨文化交际与英汉翻译策略研究,"谭焕新,",中国商业出版社,英语,二楼B区
2020考研英语 (二) 高分翻译老蒋笔记：翻译技巧+短文精讲+真题研读+实战模拟,老蒋,机械工业出版社,英语,二楼B区
大学英语教师隐性课程及其对教学行为和决策的影响研究,胡萍萍,浙江大学出版社,英语,二楼B区
2020考研英语 (二) 高分作文老蒋笔记：写作套路+经典范文+背诵模板+真题精解,老蒋,机械工业出版社,英语,二楼B区
考研英语 (二) 阅读理解精读80篇,蒋军虎,中国人民大学出版社,英语,二楼B区
英语语言文学经典阅读教程,"刁克利,陈世丹",中国人民大学出版社,英语,二楼B区
PERSPECTIVES：高级英语阅读泛读教程,"高广文,何英",西安交通大学出版社,英语,二楼B区
新时代大学互动英语．学生用书．Student's book,"段成,朱艳",重庆大学出版社,英语,二楼B区
大学应用英语学习手册：1-3,祁颖,高等教育出版社,英语,二楼B区
研究生公共英语教程,李明心,知识产权出版社,英语,二楼B区
英语阅读中的批判性思维研究,"刘富利,王颖,周玉芳",科学出版社,英语,二楼B区
劳伦斯诗选,劳伦斯,外语教学与研究出版社,英语,二楼B区
欧洲之门：乌克兰2000年史：a history of Ukraine,浦洛基,中信出版集团股份有限公司,英语,二楼B区
100%记忆：记忆大师教你高效记忆法,朱选好,中国纺织出版社,英语,二楼B区
公共管理专业英语,顾建光,上海人民出版社,英语,二楼B区
吉尔・德勒兹,贝克曼,南京大学出版社,英语,二楼B区
汽车专业英语,崔玲,北京理工大学出版社,英语,二楼B区
海权论：海权对法国大革命和第一帝国的影响：1793-1812,马汉,时代文艺出版社,英语,二楼B区
机械制造工程基础,伯梅斯特,湖南科学技术出版社,英语,二楼B区
职业素养英语,"艾治琼,,王庆光",中国人民大学出版社,英语,二楼B区
计算机英语实用教程,"刘兆毓,郑家农,闫金平",清华大学出版社,英语,二楼B区
2020MBA、MPA、MPAcc专硕联考机工版紫皮书分册系列教材．英语分册,老蒋,机械工业出版社,英语,二楼B区
电子科学与技术专业英语,"闫小兵,师建英,赵瑞",科学出版社,英语,二楼B区
实用机械工程专业英语,"杨春杰,蔺绍江,何彬",电子工业出版社,英语,二楼B区
计算机专业英语,"戚文静,李晓峰,刘学",清华大学出版社,英语,二楼B区
厄勒沉管隧道,"吉姆辛,艾弗森",人民交通出版社股份有限公司,英语,二楼B区
法律英语术语说文解字,"张振林,姜芳",中国政法大学出版社,英语,二楼B区
涉外能源工程实用英语,刘清,化学工业出版社,英语,二楼B区
粤港澳大湾区生态资源与环境一体化建设,赖梅东,中国环境出版集团,英语,二楼B区
智能制造时代纺织服装实用英语,"徐华,包振华",中国纺织出版社,英语,二楼B区
饮食的迷思：关于营养、健康和遗传的科学真相：the real science behind what we eat,斯佩克特,广西师范大学出版社,英语,二楼B区
A study of action research on strategy training in EFL vocabulary teaching & learning = 基于英语词汇教学中策略训练的行动研究 /,戴家琪,"中国纺织出版社,",英语,二楼B区
考研英语 (二) 老蒋讲词汇之配套“蒋”义7000例句互译笔记,老蒋,机械工业出版社,英语,二楼B区
跨文化交际教程,"余卫华,谌莉",浙江大学出版社,英语,二楼B区
英语国家社会与文化,"王焱,杨倩",清华大学出版社,英语,二楼B区
大学英文经典原著导读,吕爱晶,中国人民大学出版社,英语,二楼B区
现代电力系统稳态与暂态分析方法探究,臧家义,中国纺织出版社,计算机,三楼B区
Autodesk Inventor Professional 2018中文版标准实例教程,"单春阳,魏杰,胡仁喜",机械工业出版社,计算机,三楼B区
Kotlin程序员面试算法宝典,"孙伟,楚秦",机械工业出版社,计算机,三楼B区
现代计算机系统与网络,恩格兰德,机械工业出版社,计算机,三楼B区
PHP程序员面试笔试宝典,"琉忆,楚秦",机械工业出版社,计算机,三楼B区
Creo 4.0从入门到精通,北京兆迪科技公司,机械工业出版社,计算机,三楼B区
BIM基本理论,"刘占省,赵雪锋",机械工业出版社,计算机,三楼B区
网络互联技术教程,"余智豪,何志敏,马莉",清华大学出版社,计算机,三楼B区
Photoshop CC 2018图像处理案例教程,"姜雪,李柳苏",清华大学出版社,计算机,三楼B区
基于BIM的Revit装配式建筑设计实战：视频教学版,卫涛,清华大学出版社,计算机,三楼B区
Animate CC 2018动画制作案例教程,孟强,清华大学出版社,计算机,三楼B区
物联网与智能卡技术基础,王爱英,清华大学出版社,计算机,三楼B区
Linux系统应用及编程,"耿朝阳,肖锋",清华大学出版社,计算机,三楼B区
算法与数据结构：C++语言版,"冯广慧,吴昊,文全刚",电子工业出版社,计算机,三楼B区
OpenStack CI/CD：原理与实践：principle and practice,"董文娟,尚小冬,张军",机械工业出版社,计算机,三楼B区
并行多核体系结构基础,汤孟岩,机械工业出版社,计算机,三楼B区
Protel 99 SE电路设计实例教程,"刘志友,汤园园,高峰",清华大学出版社,计算机,三楼B区
网络工程导论,"刘永华,陈茜",清华大学出版社,计算机,三楼B区
快速入门与进阶．AutoCAD全实例教程：视频精讲版,"樊百林,杨皓",化学工业出版社,计算机,三楼B区
Swift常用算法：经典计算机科学问题的Swift实现,科帕克,清华大学出版社,计算机,三楼B区
计算机科学精粹,菲尔多,人民邮电出版社,计算机,三楼B区
Wireshark网络分析实战,"纳纳,拉姆多斯,奥扎赫",人民邮电出版社,计算机,三楼B区
黑客攻防实战从入门到精通,风云工作室,化学工业出版社,计算机,三楼B区
基于虚拟仪器和单片机的机电控制系统设计与实践,吴涛,化学工业出版社,计算机,三楼B区
软件工程基础与实例分析,张剑飞,机械工业出版社,计算机,三楼B区
SolidWork产品设计实例详解：微视频版,陈永康,机械工业出版社,计算机,三楼B区
UG NX 12.0完全自学手册,钟日铭,机械工业出版社,计算机,三楼B区
BIM实操：建筑工程BIM设计快速入门及模板应用,"马骁,陶海波",机械工业出版社,计算机,三楼B区
无人驾驶：人工智能如何颠覆汽车,"刘少山,李力耘,唐洁",机械工业出版社,计算机,三楼B区
DirectX 12 3D游戏开发实战,卢纳,人民邮电出版社,计算机,三楼B区
电力系统分析,"孙淑琴,李昂,李再华",机械工业出版社,计算机,三楼B区
PHP程序员面试笔试真题与解析,"琉忆,楚秦",机械工业出版社,计算机,三楼B区
"RocketMQ技术内幕：RocketMQ架构设计与实现原理：architecture, design and principle","丁威,周继锋",机械工业出版社,计算机,三楼B区
Java程序设计基础,陈国君,清华大学出版社,计算机,三楼B区
STM32F0实战：基于HAL库开发,高显生,机械工业出版社,计算机,三楼B区
卷积神经网络与视觉计算,"维凯特森,李宝新",机械工业出版社,计算机,三楼B区
AutoCAD 2018中文版建筑设计从入门到精通,"刘炳辉,井水兰",人民邮电出版社,计算机,三楼B区
Java程序设计,"韩建平,周梦熊,张海平",电子工业出版社,计算机,三楼B区
算法详解．Part Ⅰ，The basics,拉夫加登,人民邮电出版社,计算机,三楼B区
SolidWorks 2018中文版从入门到精通,"潘春祥,李香,陈淑清",人民邮电出版社,计算机,三楼B区
非经典关联和量子相干的熵度量,席政军,科学出版社,计算机,三楼B区
概率论与数理统计,"郭跃华,朱月萍",高等教育出版社,计算机,三楼B区
虚拟仪器设计,"詹惠琴,古军,罗光坤",高等教育出版社,计算机,三楼B区
单片机原理及接口技术,"范力F,蔡纪鹤",机械工业出版社,计算机,三楼B区
机械CAD技术,"谌霖霖,伍素珍",机械工业出版社,计算机,三楼B区
三维数字模型及渲染：AutoCAD 2018、3ds Max 2018快速入门及应用实训教程,王成刚,机械工业出版社,计算机,三楼B区
现代工程图学,穆浩志,机械工业出版社,计算机,三楼B区
Mastercam数控加工自动编程入门到精通,葛文军,机械工业出版社,计算机,三楼B区
数控技术,朱晓春,机械工业出版社,计算机,三楼B区
UG NX 12.0工程图教程,北京兆迪科技有限公司,机械工业出版社,计算机,三楼B区
,,,,
